Bandit,Reward,Algorithm
0.0,0.5420757563143845,EpsilonGreedy
0.0,1.7330911796441981,EpsilonGreedy
0.0,3.005656063900987,EpsilonGreedy
0.0,-1.1109707979094288,EpsilonGreedy
0.0,-0.5346546692503682,EpsilonGreedy
0.0,1.183926382811764,EpsilonGreedy
0.0,-0.5103982780093608,EpsilonGreedy
0.0,1.1717940205051893,EpsilonGreedy
0.0,1.2358294641968426,EpsilonGreedy
0.0,0.9274720290679521,EpsilonGreedy
0.0,0.7321385640609672,EpsilonGreedy
0.0,0.6013710128643923,EpsilonGreedy
0.0,-0.6627038678099537,EpsilonGreedy
0.0,3.9597131273931194,EpsilonGreedy
0.0,-0.8283632502443328,EpsilonGreedy
2.0,1.0629749508938804,EpsilonGreedy
2.0,1.985920273383396,EpsilonGreedy
2.0,2.875277470102033,EpsilonGreedy
2.0,4.002491882821461,EpsilonGreedy
2.0,2.583159547078963,EpsilonGreedy
2.0,3.6124480305513247,EpsilonGreedy
2.0,3.370054046111568,EpsilonGreedy
2.0,3.714132699797143,EpsilonGreedy
2.0,2.8134646348159515,EpsilonGreedy
2.0,2.253340831313495,EpsilonGreedy
2.0,4.421546345451656,EpsilonGreedy
2.0,1.9963185922202227,EpsilonGreedy
2.0,4.461797681186684,EpsilonGreedy
2.0,3.0906289627952837,EpsilonGreedy
2.0,3.1503803674681023,EpsilonGreedy
2.0,1.8333356418137108,EpsilonGreedy
2.0,2.3275375999670063,EpsilonGreedy
2.0,2.313547519125142,EpsilonGreedy
2.0,1.1440035859040516,EpsilonGreedy
2.0,2.934721595778979,EpsilonGreedy
2.0,4.2628257361258735,EpsilonGreedy
2.0,2.6243360790701105,EpsilonGreedy
2.0,3.2913588826827613,EpsilonGreedy
2.0,5.163343091344995,EpsilonGreedy
2.0,4.064022672165752,EpsilonGreedy
2.0,3.4224452812239634,EpsilonGreedy
2.0,2.657431711440402,EpsilonGreedy
2.0,1.9407013357722784,EpsilonGreedy
2.0,2.6567102227983934,EpsilonGreedy
2.0,3.2641327167467606,EpsilonGreedy
2.0,3.8583081852829886,EpsilonGreedy
2.0,3.763065539472828,EpsilonGreedy
2.0,1.9448262599000457,EpsilonGreedy
2.0,2.3619649687445268,EpsilonGreedy
2.0,3.3567013997983866,EpsilonGreedy
2.0,2.229093827356114,EpsilonGreedy
2.0,3.4301569042284976,EpsilonGreedy
2.0,2.39502524680329,EpsilonGreedy
2.0,3.200006951197372,EpsilonGreedy
2.0,2.772459775707683,EpsilonGreedy
2.0,2.4018349042413885,EpsilonGreedy
3.0,3.946512352648046,EpsilonGreedy
3.0,4.912011925430807,EpsilonGreedy
3.0,4.313217677602761,EpsilonGreedy
3.0,5.082805281837502,EpsilonGreedy
3.0,3.6675106533889283,EpsilonGreedy
3.0,3.0394645850162902,EpsilonGreedy
3.0,2.9457614196228294,EpsilonGreedy
3.0,4.4800114696823865,EpsilonGreedy
3.0,3.667017790322091,EpsilonGreedy
3.0,4.178635922192594,EpsilonGreedy
3.0,3.6037938057696457,EpsilonGreedy
3.0,6.007499774890103,EpsilonGreedy
3.0,5.182938798408372,EpsilonGreedy
3.0,4.168839493828775,EpsilonGreedy
3.0,2.930187036166703,EpsilonGreedy
3.0,5.092861318325217,EpsilonGreedy
3.0,1.7217469130788379,EpsilonGreedy
3.0,1.923632222374302,EpsilonGreedy
3.0,4.216980408148246,EpsilonGreedy
3.0,3.6228432750249655,EpsilonGreedy
3.0,3.9307377395647314,EpsilonGreedy
3.0,3.288890327026457,EpsilonGreedy
3.0,3.45895251647454,EpsilonGreedy
3.0,4.56829515005118,EpsilonGreedy
3.0,3.5400029799721464,EpsilonGreedy
3.0,4.414193303142477,EpsilonGreedy
3.0,3.697993893295087,EpsilonGreedy
3.0,3.306199577446797,EpsilonGreedy
3.0,4.448103606711524,EpsilonGreedy
3.0,4.343735708845983,EpsilonGreedy
3.0,3.2595294831509793,EpsilonGreedy
3.0,4.880083089603939,EpsilonGreedy
3.0,5.293851930497678,EpsilonGreedy
3.0,4.2470316808913005,EpsilonGreedy
3.0,2.4084766857172957,EpsilonGreedy
3.0,3.624339838597552,EpsilonGreedy
3.0,4.116106655565999,EpsilonGreedy
3.0,3.6761107179534216,EpsilonGreedy
3.0,3.5406459130261565,EpsilonGreedy
3.0,4.384294746345524,EpsilonGreedy
3.0,4.241635579969545,EpsilonGreedy
3.0,3.5196583050151484,EpsilonGreedy
3.0,4.169139546997675,EpsilonGreedy
3.0,4.2359631541579335,EpsilonGreedy
3.0,5.136495528771107,EpsilonGreedy
3.0,5.166872506337229,EpsilonGreedy
3.0,5.170382663089465,EpsilonGreedy
3.0,2.6253628321479687,EpsilonGreedy
3.0,3.4302593319384185,EpsilonGreedy
3.0,5.099766078817221,EpsilonGreedy
3.0,5.419178056336139,EpsilonGreedy
3.0,4.287136399726021,EpsilonGreedy
3.0,5.043086440610666,EpsilonGreedy
3.0,2.8170523440554796,EpsilonGreedy
3.0,4.30296674765536,EpsilonGreedy
3.0,4.532238821726796,EpsilonGreedy
3.0,3.992548244559552,EpsilonGreedy
3.0,4.132310908168172,EpsilonGreedy
3.0,5.123849931386549,EpsilonGreedy
3.0,3.8079545675510715,EpsilonGreedy
3.0,3.489865043845619,EpsilonGreedy
3.0,4.110117885743551,EpsilonGreedy
3.0,3.77407229756443,EpsilonGreedy
3.0,4.561041343145204,EpsilonGreedy
3.0,4.085595075156258,EpsilonGreedy
3.0,4.270234983721851,EpsilonGreedy
3.0,1.895454820735205,EpsilonGreedy
3.0,4.153912140337667,EpsilonGreedy
3.0,3.2941251468120276,EpsilonGreedy
3.0,2.549975386007182,EpsilonGreedy
3.0,4.467159621587435,EpsilonGreedy
3.0,5.083510812787092,EpsilonGreedy
3.0,3.5526786304744356,EpsilonGreedy
3.0,4.868241679202711,EpsilonGreedy
3.0,5.034297989116395,EpsilonGreedy
3.0,4.214555083447423,EpsilonGreedy
3.0,5.9852889354633705,EpsilonGreedy
3.0,3.6438967227414194,EpsilonGreedy
3.0,4.331482251758532,EpsilonGreedy
3.0,2.1659301970202276,EpsilonGreedy
3.0,3.5387932383318916,EpsilonGreedy
3.0,4.7482123591446745,EpsilonGreedy
3.0,3.782247305648807,EpsilonGreedy
3.0,3.268902291175051,EpsilonGreedy
3.0,2.91142136416291,EpsilonGreedy
3.0,3.94270726692704,EpsilonGreedy
3.0,3.5753001563667084,EpsilonGreedy
3.0,2.014682548176211,EpsilonGreedy
3.0,4.370643447211697,EpsilonGreedy
3.0,3.288280433260452,EpsilonGreedy
3.0,2.629397279681472,EpsilonGreedy
3.0,3.9902309799595534,EpsilonGreedy
3.0,2.5902183328438806,EpsilonGreedy
3.0,3.642015568894592,EpsilonGreedy
3.0,3.2687512210986003,EpsilonGreedy
3.0,3.837973135627421,EpsilonGreedy
3.0,5.796625662981876,EpsilonGreedy
3.0,4.024191683131019,EpsilonGreedy
3.0,2.761654435768457,EpsilonGreedy
3.0,5.341901365607102,EpsilonGreedy
3.0,4.415992765898456,EpsilonGreedy
3.0,2.5678200406613145,EpsilonGreedy
0.0,0.43389252794675714,EpsilonGreedy
3.0,4.99370594875925,EpsilonGreedy
3.0,3.592327521565102,EpsilonGreedy
3.0,4.256448794244201,EpsilonGreedy
3.0,5.331298623069456,EpsilonGreedy
3.0,4.435082639253054,EpsilonGreedy
3.0,4.47698617935215,EpsilonGreedy
3.0,3.274877741564186,EpsilonGreedy
3.0,5.261992757630135,EpsilonGreedy
3.0,2.763389702016011,EpsilonGreedy
3.0,4.419436758781974,EpsilonGreedy
3.0,4.133551970388669,EpsilonGreedy
3.0,3.3597392900460807,EpsilonGreedy
3.0,5.261866171524468,EpsilonGreedy
3.0,3.685602540293104,EpsilonGreedy
3.0,3.1505464682425353,EpsilonGreedy
3.0,4.273353623134172,EpsilonGreedy
3.0,4.5234252526989005,EpsilonGreedy
3.0,4.424704564412439,EpsilonGreedy
3.0,3.978482017514347,EpsilonGreedy
3.0,4.828428519174501,EpsilonGreedy
3.0,4.175778720164768,EpsilonGreedy
3.0,4.702258872360468,EpsilonGreedy
3.0,2.5725040267265333,EpsilonGreedy
3.0,2.8432431010949353,EpsilonGreedy
3.0,3.232411307163223,EpsilonGreedy
3.0,5.918563894138094,EpsilonGreedy
3.0,3.559040082327818,EpsilonGreedy
3.0,3.6365303599433982,EpsilonGreedy
3.0,5.000494438202053,EpsilonGreedy
3.0,3.498404107656163,EpsilonGreedy
3.0,3.7028941687942094,EpsilonGreedy
3.0,1.5158903720618278,EpsilonGreedy
3.0,4.540413224229581,EpsilonGreedy
3.0,3.7140345812218234,EpsilonGreedy
3.0,5.177026981281244,EpsilonGreedy
3.0,3.020859459949011,EpsilonGreedy
3.0,2.8234964184341824,EpsilonGreedy
3.0,4.750158103064419,EpsilonGreedy
