Bandit,Reward,Algorithm
3.0,4.1515507397004425,ThompsonSampling
3.0,3.7567030053871897,ThompsonSampling
3.0,5.033405962226611,ThompsonSampling
3.0,4.127539609339318,ThompsonSampling
3.0,2.8379959329399065,ThompsonSampling
3.0,5.524938676012795,ThompsonSampling
3.0,3.8354353622960815,ThompsonSampling
3.0,3.98366648225108,ThompsonSampling
3.0,3.21702921190534,ThompsonSampling
3.0,1.8303079109608809,ThompsonSampling
3.0,4.0174282310784095,ThompsonSampling
3.0,4.087226565520788,ThompsonSampling
3.0,3.779716071811684,ThompsonSampling
3.0,4.2634878817737585,ThompsonSampling
3.0,3.3214944330813,ThompsonSampling
3.0,3.5934875407865965,ThompsonSampling
3.0,4.837047610142322,ThompsonSampling
3.0,4.237512501532178,ThompsonSampling
3.0,4.15614207344838,ThompsonSampling
3.0,2.7011315948895396,ThompsonSampling
3.0,4.689691232743615,ThompsonSampling
3.0,4.2976032340792525,ThompsonSampling
3.0,3.101063792703603,ThompsonSampling
3.0,4.131915828690496,ThompsonSampling
3.0,2.7597619306566408,ThompsonSampling
3.0,4.382226629566218,ThompsonSampling
3.0,5.419840126895217,ThompsonSampling
3.0,3.0981451881123068,ThompsonSampling
3.0,4.635021540768899,ThompsonSampling
3.0,3.0347757650603477,ThompsonSampling
3.0,2.450766014232017,ThompsonSampling
3.0,3.4340465709096786,ThompsonSampling
3.0,2.991978291444891,ThompsonSampling
3.0,4.246489974570344,ThompsonSampling
3.0,3.828418945779813,ThompsonSampling
3.0,3.9306051674155014,ThompsonSampling
3.0,5.267892628000926,ThompsonSampling
3.0,3.7099672727619253,ThompsonSampling
3.0,4.64280565171692,ThompsonSampling
2.0,2.3159292309287847,ThompsonSampling
3.0,3.454505937048039,ThompsonSampling
3.0,4.385504324060493,ThompsonSampling
3.0,3.3930075952108925,ThompsonSampling
3.0,4.234054229732365,ThompsonSampling
3.0,2.6282462723766056,ThompsonSampling
3.0,4.143359636699163,ThompsonSampling
3.0,3.493797236695913,ThompsonSampling
3.0,3.7240288271457156,ThompsonSampling
3.0,3.7838669833384233,ThompsonSampling
3.0,5.7736110864542765,ThompsonSampling
3.0,2.1266199065777727,ThompsonSampling
3.0,4.52820865576207,ThompsonSampling
3.0,4.284310991591105,ThompsonSampling
3.0,3.2387968875057176,ThompsonSampling
3.0,6.109096713308258,ThompsonSampling
3.0,4.018076592165066,ThompsonSampling
3.0,3.4199897082053887,ThompsonSampling
3.0,3.8979722973970663,ThompsonSampling
3.0,3.851014604072792,ThompsonSampling
3.0,4.7415142599272935,ThompsonSampling
3.0,4.313768849036166,ThompsonSampling
3.0,4.114991565106453,ThompsonSampling
3.0,3.749270442301171,ThompsonSampling
3.0,3.881068191689272,ThompsonSampling
3.0,2.5952224315977603,ThompsonSampling
3.0,4.552368313159126,ThompsonSampling
3.0,2.252282569759109,ThompsonSampling
3.0,5.666817299765259,ThompsonSampling
3.0,2.591823462533592,ThompsonSampling
3.0,3.499282726656418,ThompsonSampling
3.0,5.417276164468682,ThompsonSampling
3.0,3.824201424801556,ThompsonSampling
3.0,4.446443027195845,ThompsonSampling
3.0,4.793680589911867,ThompsonSampling
3.0,3.656647079850787,ThompsonSampling
3.0,4.746291937262959,ThompsonSampling
3.0,3.438960537215262,ThompsonSampling
3.0,5.739211404257938,ThompsonSampling
3.0,5.477096473684654,ThompsonSampling
3.0,4.283697107348644,ThompsonSampling
3.0,5.851572338004089,ThompsonSampling
3.0,3.895899223922456,ThompsonSampling
3.0,3.293900930936263,ThompsonSampling
3.0,4.207396903515955,ThompsonSampling
3.0,4.655592912241469,ThompsonSampling
3.0,3.7671016688994086,ThompsonSampling
3.0,3.2524561794206153,ThompsonSampling
3.0,3.871810150283361,ThompsonSampling
3.0,3.610704828811214,ThompsonSampling
3.0,3.5374339853432932,ThompsonSampling
3.0,5.280851910451528,ThompsonSampling
3.0,5.878800595336948,ThompsonSampling
3.0,6.949132424567658,ThompsonSampling
3.0,4.166413256067708,ThompsonSampling
3.0,3.5873926083043943,ThompsonSampling
3.0,4.167387879544135,ThompsonSampling
3.0,4.4361622132637,ThompsonSampling
3.0,4.803461220145319,ThompsonSampling
3.0,5.0213372844995074,ThompsonSampling
3.0,3.736787023087742,ThompsonSampling
3.0,5.864055707655417,ThompsonSampling
3.0,3.0932698088897244,ThompsonSampling
3.0,3.0414865978199175,ThompsonSampling
3.0,5.188621012351938,ThompsonSampling
3.0,5.761590251625695,ThompsonSampling
3.0,2.194627102160977,ThompsonSampling
3.0,3.3558884317636575,ThompsonSampling
3.0,4.067907700971201,ThompsonSampling
3.0,3.815907032560286,ThompsonSampling
3.0,3.025092770420856,ThompsonSampling
3.0,3.3849032988171097,ThompsonSampling
3.0,2.1320116874617634,ThompsonSampling
3.0,4.475972031917626,ThompsonSampling
3.0,3.304341274364445,ThompsonSampling
3.0,2.769418342431034,ThompsonSampling
3.0,3.4271033536520696,ThompsonSampling
3.0,3.7047466432614162,ThompsonSampling
3.0,5.2733296509741665,ThompsonSampling
3.0,4.015182299960514,ThompsonSampling
3.0,2.849496705710426,ThompsonSampling
3.0,5.18431739564404,ThompsonSampling
3.0,2.5561399128173665,ThompsonSampling
3.0,4.898613305454196,ThompsonSampling
3.0,4.577630039426355,ThompsonSampling
3.0,3.8514884416554396,ThompsonSampling
3.0,4.01590735330933,ThompsonSampling
3.0,3.7456691515485017,ThompsonSampling
